kecamatan,kabupaten,avg_skor,rank,top_limiting_factor,recommendation
Sagaranten,Kab. Sukabumi,1.39,1,digital_readiness,Prioritas: Program pelatihan digital dan perluasan internet
Cisompet,Kab. Garut,6.85,2,digital_readiness,Prioritas: Program pelatihan digital dan perluasan internet
Cihurip,Kab. Garut,7.21,3,digital_readiness,Prioritas: Program pelatihan digital dan perluasan internet
Cidolog,Kab. Ciamis,7.51,4,digital_readiness,Prioritas: Program pelatihan digital dan perluasan internet
Hantara,Kab. Kuningan,8.25,5,infrastructure,Prioritas: Pembangunan infrastruktur jalan dan pasar
Langkaplancar,Kab. Pangandaran,10.7,6,digital_readiness,Prioritas: Program pelatihan digital dan perluasan internet
Cicurug,Kab. Sukabumi,11.27,7,digital_readiness,Prioritas: Program pelatihan digital dan perluasan internet
Cidahu,Kab. Sukabumi,11.43,8,digital_readiness,Prioritas: Program pelatihan digital dan perluasan internet
Singajaya,Kab. Garut,11.7,9,infrastructure,Prioritas: Pembangunan infrastruktur jalan dan pasar
Kertajati,Kab. Majalengka,12.65,10,financial_access,Prioritas: Ekspansi layanan perbankan dan KUR
Bantarkalong,Kab. Tasikmalaya,12.97,11,financial_access,Prioritas: Ekspansi layanan perbankan dan KUR
Culamega,Kab. Tasikmalaya,13.22,12,infrastructure,Prioritas: Pembangunan infrastruktur jalan dan pasar
Garawangi,Kab. Kuningan,13.32,13,digital_readiness,Prioritas: Program pelatihan digital dan perluasan internet
Peundeuy,Kab. Garut,13.89,14,digital_readiness,Prioritas: Program pelatihan digital dan perluasan internet
Gegerbitung,Kab. Sukabumi,14.21,15,infrastructure,Prioritas: Pembangunan infrastruktur jalan dan pasar
